home_team,Avg_Wins,P10_Wins,P90_Wins
Los Angeles Dodgers,99.71732,91.0,108.0
New York Yankees,93.71564,85.0,102.0
Toronto Blue Jays,92.99037,84.0,102.0
Philadelphia Phillies,92.48945,84.0,101.0
Chicago Cubs,92.02073,84.0,100.0
Detroit Tigers,91.84399,84.0,100.0
Seattle Mariners,91.5991,83.0,100.0
Milwaukee Brewers,90.38987,82.0,99.0
Boston Red Sox,89.04212,81.0,97.0
San Diego Padres,87.67258,80.0,96.0
Tampa Bay Rays,85.38149,77.0,93.10000000000582
New York Mets,84.38751,76.0,92.0
Cincinnati Reds,84.2068,76.0,92.0
Cleveland Guardians,82.12193,74.0,90.0
Kansas City Royals,81.57914,73.0,90.0
Texas Rangers,80.87458,73.0,89.0
Arizona Diamondbacks,80.83739,73.0,89.0
San Francisco Giants,80.3851,72.0,88.0
Miami Marlins,78.30478,70.0,86.0
Oakland Athletics,78.06063,70.0,86.0
Houston Astros,77.81819,70.0,86.0
Atlanta Braves,77.63699,70.0,86.0
Baltimore Orioles,77.15313,69.0,85.0
Pittsburgh Pirates,76.76122,69.0,85.0
St. Louis Cardinals,75.00311,67.0,83.0
Minnesota Twins,74.14593,66.0,82.0
Chicago White Sox,71.89953,64.0,80.0
Washington Nationals,71.14345,63.0,79.0
Los Angeles Angels,68.01924,60.0,76.0
Colorado Rockies,62.79869,55.0,71.0
